ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries,Sum
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,38,0.22714,0.35321,0.27648,1,0.85683
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,39,0.22714,0.35321,0.27648,1,0.85683
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,40,0.22714,0.35321,0.27648,1,0.85683
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,41,0.22714,0.35321,0.27648,1,0.85683
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,42,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,43,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,44,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,45,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,46,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,47,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,48,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,49,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,50,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,51,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,52,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,53,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,54,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,55,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,56,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,57,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,58,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,59,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,60,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,61,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,62,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,63,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,64,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,65,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,66,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,67,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,68,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,69,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,70,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,71,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,72,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,73,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,74,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,75,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,76,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,77,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,78,0.15044,0.2287,0.18149,1,0.56063
ROUGE-1+StopWordRemoval,#äºµå½±å­¦é¢æ¨¹§ä¾µæ¡#-HYBRID-TFIDF,79,0.15044,0.2287,0.18149,1,0.56063
