ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,SUM,Num Reference Summaries
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.47519,0.48172,0.47843,1.44187,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.35508,0.38667,0.3702,1.14354,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.44664,0.56716,0.49974,1.63406,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.53843,0.55338,0.5458,1.65256,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.50054,0.44074,0.46874,1.35022,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.39188,0.49864,0.43886,1.43614,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.20119,0.36863,0.26031,0.99757,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.45464,0.59605,0.51583,1.70793,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.46049,0.46199,0.46124,1.38522,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.42442,0.54722,0.47806,1.5725,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.25991,0.48627,0.33876,1.3113,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.44593,0.5,0.47142,1.47142,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.31203,0.31884,0.3154,0.95308,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.44776,0.53846,0.48894,1.56586,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.29539,0.43519,0.35191,1.22229,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.30535,0.53409,0.38856,1.45674,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.37173,0.67054,0.4783,1.81938,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.3441,0.56738,0.42839,1.56315,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.43852,0.58405,0.50093,1.66903,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.39225,0.44844,0.41847,1.31535,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.32257,0.38063,0.34921,1.11047,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.48,0.45908,0.46931,1.38747,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.47225,0.61864,0.53562,1.7729,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.46816,0.57214,0.51496,1.65924,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.45906,0.49448,0.47611,1.46507,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.54642,0.49634,0.52018,1.51286,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.33298,0.71296,0.45395,1.87987,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.28548,0.42017,0.33997,1.18031,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.41694,0.46099,0.43786,1.35984,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.42012,0.55923,0.4798,1.59826,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.3811,0.54012,0.44689,1.52713,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.37248,0.52507,0.4358,1.48594,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.44785,0.58073,0.50571,1.66717,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.5698,0.43651,0.49433,1.36735,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.35423,0.53722,0.42694,1.50138,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.53908,0.52147,0.53013,1.57307,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.55817,0.69333,0.61845,2.00511,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.43766,0.39411,0.41474,1.20296,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.2958,0.34848,0.31999,1.01695,3
